feature,importance
points_diff,0.04688777405179892
goal_diff_diff,0.04490762795651239
position_diff,0.037796521224229315
season_goals_diff,0.027227022843537778
season_defense_diff,0.026997788845534696
home_season_draw_pct,0.025079301646387095
away_recent_opponent_strength,0.02422045809356428
away_season_draw_pct,0.02414930116336536
away_scoring_std,0.02197687840034812
home_position,0.021474391613084558
home_recent_opponent_strength,0.020697614694503076
home_scoring_std,0.020203600126271565
home_season_win_pct,0.0201926727310881
away_season_win_pct,0.019763891848210546
away_failed_to_score_pct,0.019528960733176257
home_clean_sheet_pct,0.01853727547731001
home_avg_total_goals,0.018306257605639784
week_of_season,0.018035923054556927
home_failed_to_score_pct,0.017796303349607648
away_avg_total_goals,0.017773373596038543
momentum_diff,0.017719674188129128
away_position,0.017512282973148337
home_overall_form_points,0.017119836664758862
form_points_diff,0.016633827598409125
away_overall_form_points,0.01629786290534472
away_clean_sheet_pct,0.015631725355895066
away_goals_conceded_avg,0.015378729840957298
combined_over25_likelihood,0.01506465979037434
home_season_conceded_avg,0.015045602319170246
goals_conceded_diff,0.014945501179403952
goals_scored_diff,0.014847962683775352
away_form_points,0.014737650309274318
home_season_goals_avg,0.014176793364381783
away_season_goals_avg,0.013862531510164512
combined_btts_likelihood,0.013729186728488942
home_over25_rate,0.013641664520687212
away_goals_scored_avg,0.01347470691014538
home_goals_scored_avg,0.013437721065126137
home_goals_conceded_avg,0.01326071219353715
home_form_points,0.013091319892861915
away_momentum,0.012778821684519805
home_btts_rate,0.01240143019028069
away_btts_rate,0.012371116104073262
away_over25_rate,0.011973002961952273
home_momentum,0.01196681878796129
away_season_conceded_avg,0.011949753143960544
month,0.01181044186140604
days_since_last_match_home,0.010540226303640363
days_since_last_match_away,0.010498664861769407
home_clean_sheet_rate,0.009061638233167996
away_clean_sheet_rate,0.008900968823218407
home_win_rate,0.008387559446607643
home_failed_to_score_rate,0.008088249012880687
away_failed_to_score_rate,0.00808245305617281
away_win_rate,0.007746976876874306
away_scoring_range,0.007367254089135287
home_scoring_range,0.0072667287311943595
rest_days_diff,0.005509287448856585
h2h_away_goals_avg,0.005304615319151864
h2h_home_goals_avg,0.005215600652425286
day_of_week,0.004264900056330542
h2h_total_matches,0.0024679652239557493
is_weekend,0.002368491654924596
is_midweek,0.002300281442068451
h2h_draws,0.0021593210061987902
away_penalty_conversion,0.0017665723504344344
home_penalty_conversion,0.001617578321714653
h2h_home_wins,0.0015619239328132938
h2h_away_wins,0.0015195170527663913
is_december,0.0009542205463504134
is_holiday_period,0.0006347297743950405
injury_impact_diff,0.0
away_questionable_players,0.0
home_missing_players,0.0
is_derby,0.0
home_questionable_players,0.0
away_missing_players,0.0
