feature,importance
points_diff,0.04406440222049486
goal_diff_diff,0.03885675049581875
position_diff,0.037526108186113294
away_season_draw_pct,0.033658005131535766
home_scoring_std,0.023512922653414457
home_season_draw_pct,0.02308332731303404
home_position,0.022613991896488005
home_season_win_pct,0.02254440913921286
away_scoring_std,0.022470134729535712
away_position,0.02222791731995493
season_defense_diff,0.021952863754275933
away_season_win_pct,0.021834941371838505
week_of_season,0.021504493030762094
away_recent_opponent_strength,0.021189732928199666
home_recent_opponent_strength,0.021054057497501364
home_clean_sheet_pct,0.019567481437812992
away_avg_total_goals,0.018839832574875776
home_avg_total_goals,0.017872716167062576
season_goals_diff,0.01778637211205305
goals_conceded_diff,0.01747861791913859
combined_btts_likelihood,0.01732474199910724
home_failed_to_score_pct,0.017310614830909156
momentum_diff,0.016882268960392174
away_failed_to_score_pct,0.01668392327840975
away_btts_rate,0.01612096211790658
away_overall_form_points,0.016047007503990966
form_points_diff,0.015845506659379338
away_goals_conceded_avg,0.015572586172461404
goals_scored_diff,0.015346335654237424
home_overall_form_points,0.015132638439388788
home_goals_scored_avg,0.014742542598040103
away_clean_sheet_pct,0.014594204920529198
away_goals_scored_avg,0.014552425293747008
combined_over25_likelihood,0.01412444823282259
home_momentum,0.013886883282082754
home_season_conceded_avg,0.013580028773606097
away_form_points,0.013562896631322586
home_form_points,0.013169603959138737
home_over25_rate,0.012991963161628406
away_momentum,0.012969456690246168
away_season_conceded_avg,0.01290014169017372
away_over25_rate,0.012791655367388416
home_goals_conceded_avg,0.012782182122982053
home_btts_rate,0.012667205639982661
away_season_goals_avg,0.01190335468091909
month,0.011734781689503058
home_season_goals_avg,0.011008447927638235
days_since_last_match_home,0.010532343678523706
home_win_rate,0.009857623079728988
days_since_last_match_away,0.00962294903420982
away_failed_to_score_rate,0.009495195153413506
home_clean_sheet_rate,0.008957882572607642
away_win_rate,0.008360968163818443
home_failed_to_score_rate,0.008171073590989375
away_scoring_range,0.007952527471688014
home_scoring_range,0.007348344762368145
away_clean_sheet_rate,0.006506630302095377
day_of_week,0.005887041296461471
h2h_away_goals_avg,0.005615250210885571
h2h_home_goals_avg,0.004718745089268653
rest_days_diff,0.004514662003480977
is_weekend,0.0030015346706279626
h2h_total_matches,0.002454233008834365
h2h_away_wins,0.0021974287418528417
away_penalty_conversion,0.0021588814354706162
is_midweek,0.0017238298124852669
home_penalty_conversion,0.0016408305029091599
h2h_home_wins,0.0012692181158754576
h2h_draws,0.0009248463402412182
is_december,0.0008346388259461056
is_holiday_period,0.00038543597916038705
injury_impact_diff,0.0
away_questionable_players,0.0
home_missing_players,0.0
is_derby,0.0
home_questionable_players,0.0
away_missing_players,0.0
