feature,importance
points_diff,0.043985848853367135
goal_diff_diff,0.043117887073803075
position_diff,0.03354019480761656
away_recent_opponent_strength,0.02704063775122469
season_defense_diff,0.024888327720966677
away_season_draw_pct,0.02418575954539005
home_scoring_std,0.02418140511288648
home_recent_opponent_strength,0.023830990371532478
season_goals_diff,0.022879312852968205
away_scoring_std,0.02270179329701144
week_of_season,0.021686373782219683
away_avg_total_goals,0.0216584438650209
home_position,0.021434052642445033
away_position,0.020566374273188543
away_failed_to_score_pct,0.020450158053112833
home_season_draw_pct,0.02009148049668873
away_season_win_pct,0.018671657480658417
home_failed_to_score_pct,0.017829085808118365
home_momentum,0.01777375228544176
home_season_win_pct,0.01707878775835767
away_clean_sheet_pct,0.01704879770429267
form_points_diff,0.016762178340776597
away_form_points,0.016575816718180748
goals_conceded_diff,0.01655673593283966
momentum_diff,0.016444288144871373
home_overall_form_points,0.0159947934451672
goals_scored_diff,0.015932088315327785
home_clean_sheet_pct,0.015678296484089735
away_overall_form_points,0.01566702501471774
home_avg_total_goals,0.015661514025914213
away_goals_scored_avg,0.014710356150564563
away_goals_conceded_avg,0.014530214269401641
home_form_points,0.014152699356848387
away_momentum,0.01365059368514902
home_over25_rate,0.013564085440030947
home_goals_conceded_avg,0.013512851200462646
home_goals_scored_avg,0.013316079077253285
away_btts_rate,0.013150270270721518
combined_btts_likelihood,0.012873429295945026
combined_over25_likelihood,0.012785466371760021
away_over25_rate,0.012475521873722738
month,0.01219430757084163
days_since_last_match_away,0.01183450667761726
home_btts_rate,0.011764620912348266
away_season_goals_avg,0.01174886324404437
away_season_conceded_avg,0.011632187507509013
home_season_goals_avg,0.011393176067580795
home_season_conceded_avg,0.011121286731532617
days_since_last_match_home,0.010207232077120668
home_clean_sheet_rate,0.010112293199515957
away_win_rate,0.009736252334198302
away_clean_sheet_rate,0.00939049327241358
home_win_rate,0.009026204872306176
home_failed_to_score_rate,0.008496708141832702
away_failed_to_score_rate,0.008487904185838276
home_scoring_range,0.0067819920071738185
away_scoring_range,0.006563316104509198
day_of_week,0.006404480867763423
rest_days_diff,0.005687050786405208
h2h_away_goals_avg,0.005336394606517825
h2h_home_goals_avg,0.004488025127844669
is_weekend,0.0032122647065618614
h2h_total_matches,0.002905644379386115
is_midweek,0.002504748823075745
h2h_home_wins,0.002236943749458298
h2h_away_wins,0.0022196907566318707
home_penalty_conversion,0.0019255501919487239
away_penalty_conversion,0.0015466609840283356
is_december,0.0009735526990153951
h2h_draws,0.0009666627635780511
is_holiday_period,0.0004655597013456356
injury_impact_diff,0.0
away_questionable_players,0.0
home_missing_players,0.0
is_derby,0.0
home_questionable_players,0.0
away_missing_players,0.0
